Basin,HUC8,HUC8 Name,Report Year,Report Month,Component Type,Component ID,Component Name,Component Volume,Component NEP
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ForecastedRunoff,06719505,CLEAR CREEK AT GOLDEN,89000.00,23.51
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ForecastedRunoff,06724000,SAINT VRAIN CREEK AT LYONS,74000.00,32.59
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ForecastedRunoff,06727000,BOULDER CREEK NEAR ORODELL,49000.00,33.83
South Platte,10190012,Middle South Platte-Sterling,2018,2,ReservoirStorage,06016170,JULESBURG RESERVOIR,16500.00,32.40
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ForecastedRunoff,06729500,"SOUTH BOULDER CK NR ELDORADO SPRINGS, CO",33000.00,30.58
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ForecastedRunoff,06738000,"BIG THOMPSON R AT MOUTH, NR DRAKE, CO",74000.00,30.93
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ForecastedRunoff,06752000,CACHE LA POUDRE R AT CANYON MOUTH,205000.00,39.35
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ReservoirStorage,06016020,BARR LAKE,26800.00,91.73
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ReservoirStorage,06016230,MILTON RESERVOIR,19300.00,96.03
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ReservoirStorage,06016280,STANDLEY RESERVOIR,42000.00,98.51
South Platte,10190003,Middle South Platte-Cherry Creek,2018,2,ReservoirStorage,06016370,HORSECREEK RESERVOIR,11800.00,38.82
South Platte,10190004,Clear,2018,2,ForecastedRunoff,06719505,CLEAR CREEK AT GOLDEN,89000.00,23.51
South Platte,10190005,St. Vrain,2018,2,ForecastedRunoff,06724000,SAINT VRAIN CREEK AT LYONS,74000.00,32.59
South Platte,10190005,St. Vrain,2018,2,ForecastedRunoff,06727000,BOULDER CREEK NEAR ORODELL,49000.00,33.83
South Platte,10190005,St. Vrain,2018,2,ForecastedRunoff,06729500,"SOUTH BOULDER CK NR ELDORADO SPRINGS, CO",33000.00,30.58
South Platte,10190005,St. Vrain,2018,2,ReservoirStorage,06016130,GROSS RESERVOIR,28337.00,98.51
South Platte,10190005,St. Vrain,2018,2,ReservoirStorage,06016220,MARSHALL RESERVOIR,7100.00,86.71
South Platte,10190005,St. Vrain,2018,2,ReservoirStorage,06016260,BUTTONROCK (RALPH PRICE) RESERVOIR,16100.00,98.51
South Platte,10190005,St. Vrain,2018,2,ReservoirStorage,06016290,TERRY RESERVOIR,6000.00,88.63
South Platte,10190005,St. Vrain,2018,2,ReservoirStorage,06016300,UNION RESERVOIR,11995.00,74.19
South Platte,10190006,Big Thompson,2018,2,ForecastedRunoff,06738000,"BIG THOMPSON R AT MOUTH, NR DRAKE, CO",74000.00,30.93
South Platte,10190006,Big Thompson,2018,2,ReservoirStorage,06016040,BOYD LAKE,34600.00,58.08
South Platte,10190006,Big Thompson,2018,2,ReservoirStorage,06016060,CARTER LAKE,55362.00,14.06
South Platte,10190006,Big Thompson,2018,2,ReservoirStorage,06016180,LAKE LOVELAND RESERVOIR,5800.00,18.45
South Platte,10190006,Big Thompson,2018,2,ReservoirStorage,06016190,LONE TREE RESERVOIR,6800.00,52.36
South Platte,10190006,Big Thompson,2018,2,ReservoirStorage,06016200,MARIANO RESERVOIR,4000.00,56.41
South Platte,10190006,Big Thompson,2018,2,ReservoirStorage,09009060,LAKE GRANBY,417226.00,96.13
South Platte,10190006,Big Thompson,2018,2,ReservoirStorage,09009160,WILLOW CREEK RESERVOIR,6300.00,18.91
South Platte,10190007,Cache La Poudre,2018,2,ForecastedRunoff,06752000,CACHE LA POUDRE R AT CANYON MOUTH,205000.00,39.35
South Platte,10190007,Cache La Poudre,2018,2,ReservoirStorage,06016030,BLACK HOLLOW RESERVOIR,3376.00,76.12
South Platte,10190007,Cache La Poudre,2018,2,ReservoirStorage,06016050,CACHE LA POUDRE,8871.00,91.44
South Platte,10190007,Cache La Poudre,2018,2,ReservoirStorage,06016070,CHAMBERS LAKE,5804.00,92.18
South Platte,10190007,Cache La Poudre,2018,2,ReservoirStorage,06016090,COBB LAKE,19060.00,76.95
South Platte,10190007,Cache La Poudre,2018,2,ReservoirStorage,06016120,FOSSIL CREEK RESERVOIR,9316.00,90.21
South Platte,10190007,Cache La Poudre,2018,2,ReservoirStorage,06016140,HALLIGAN RESERVOIR,6428.00,96.02
South Platte,10190007,Cache La Poudre,2018,2,ReservoirStorage,06016150,HORSETOOTH RESERVOIR,85826.00,35.94
South Platte,10190007,Cache La Poudre,2018,2,ReservoirStorage,06016310,WINDSOR RESERVOIR,8779.00,21.36
South Platte,10190012,Middle South Platte-Sterling,2018,2,ForecastedRunoff,06707500,SOUTH PLATTE RIVER AT SOUTH PLATTE,120000.00,17.09
South Platte,10190012,Middle South Platte-Sterling,2018,2,ForecastedRunoff,06719505,CLEAR CREEK AT GOLDEN,89000.00,23.51
South Platte,10190012,Middle South Platte-Sterling,2018,2,ForecastedRunoff,06724000,SAINT VRAIN CREEK AT LYONS,74000.00,32.59
South Platte,10190012,Middle South Platte-Sterling,2018,2,ForecastedRunoff,06727000,BOULDER CREEK NEAR ORODELL,49000.00,33.83
South Platte,10190012,Middle South Platte-Sterling,2018,2,ForecastedRunoff,06729500,"SOUTH BOULDER CK NR ELDORADO SPRINGS, CO",33000.00,30.58
South Platte,10190012,Middle South Platte-Sterling,2018,2,ForecastedRunoff,06738000,"BIG THOMPSON R AT MOUTH, NR DRAKE, CO",74000.00,30.93
South Platte,10190012,Middle South Platte-Sterling,2018,2,ForecastedRunoff,06752000,CACHE LA POUDRE R AT CANYON MOUTH,205000.00,39.35
South Platte,10190012,Middle South Platte-Sterling,2018,2,ReservoirStorage,06016110,EMPIRE RESERVOIR,25800.00,66.93
South Platte,10190012,Middle South Platte-Sterling,2018,2,ReservoirStorage,06016160,JACKSON LAKE RESERVOIR,24200.00,54.09
South Platte,10190012,Middle South Platte-Sterling,2018,2,ReservoirStorage,06016240,POINT OF ROCKS RESERVOIR,59200.00,67.34
South Platte,10190012,Middle South Platte-Sterling,2018,2,ReservoirStorage,06016250,PREWITT RESERVOIR,18900.00,60.55
