abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCBGRCO","=""04/10/1987 00:00""","39.6","cfs","","","=""04/10/1987 23:45""",
"BOCBGRCO","=""04/11/1987 00:00""","39.6","cfs","","","=""04/11/1987 23:45""",
"BOCBGRCO","=""04/12/1987 00:00""","40.4","cfs","","","=""04/12/1987 20:00""",
"BOCBGRCO","=""04/13/1987 00:00""","35.6","cfs","","","=""04/13/1987 23:45""",
"BOCBGRCO","=""04/14/1987 00:00""","47.9","cfs","","","=""04/14/1987 23:45""",
"BOCBGRCO","=""04/15/1987 00:00""","55.9","cfs","","","=""04/15/1987 23:45""",
"BOCBGRCO","=""04/16/1987 00:00""","55.8","cfs","","Obs*","=""04/16/1987 23:45""",
"BOCBGRCO","=""04/17/1987 00:00""","82.5","cfs","","","=""04/17/1987 23:45""",
"BOCBGRCO","=""04/18/1987 00:00""","97.7","cfs","","","=""04/18/1987 23:45""",
"BOCBGRCO","=""04/19/1987 00:00""","97.8","cfs","","","=""04/19/1987 23:45""",
"BOCBGRCO","=""04/20/1987 00:00""","74","cfs","","","=""04/20/1987 20:00""",
"BOCBGRCO","=""04/21/1987 00:00""","41.8","cfs","","","=""04/21/1987 23:45""",
"BOCBGRCO","=""04/22/1987 00:00""","37.4","cfs","","","=""04/22/1987 23:45""",
"BOCBGRCO","=""04/23/1987 00:00""","36.1","cfs","","","=""04/23/1987 23:45""",
"BOCBGRCO","=""04/24/1987 00:00""","24.5","cfs","","Obs*","=""04/24/1987 23:45""",
"BOCBGRCO","=""04/25/1987 00:00""","20.1","cfs","","","=""04/25/1987 00:00""",
"BOCBGRCO","=""04/26/1987 00:00""","20.1","cfs","","","=""04/26/1987 23:45""",
"BOCBGRCO","=""04/27/1987 00:00""","20.1","cfs","","","=""04/27/1987 23:45""",
"BOCBGRCO","=""04/28/1987 00:00""","20.1","cfs","","Obs*","=""04/28/1987 16:00""",
"BOCBGRCO","=""04/29/1987 00:00""","30.6","cfs","","Obs*","=""04/29/1987 20:00""",
"BOCBGRCO","=""04/30/1987 00:00""","31.3","cfs","","","=""04/30/1987 23:45""",
"BOCBGRCO","=""05/01/1987 00:00""","37.9","cfs","","","=""05/01/1987 23:45""",
"BOCBGRCO","=""05/02/1987 00:00""","42.2","cfs","","","=""05/02/1987 23:45""",
"BOCBGRCO","=""05/03/1987 00:00""","42.9","cfs","","","=""05/03/1987 23:45""",
"BOCBGRCO","=""05/04/1987 00:00""","42.9","cfs","","","=""05/04/1987 23:45""",
"BOCBGRCO","=""05/05/1987 00:00""","51.5","cfs","","","=""05/05/1987 23:45""",
"BOCBGRCO","=""05/06/1987 00:00""","62","cfs","","","=""05/06/1987 23:45""",
"BOCBGRCO","=""05/07/1987 00:00""","65","cfs","","","=""05/07/1987 23:45""",
"BOCBGRCO","=""05/08/1987 00:00""","74.5","cfs","","","=""05/08/1987 23:45""",
"BOCBGRCO","=""05/09/1987 00:00""","88.2","cfs","","","=""05/09/1987 20:00""",
"BOCBGRCO","=""05/10/1987 00:00""","95.4","cfs","","","=""05/10/1987 20:00""",
"BOCBGRCO","=""05/11/1987 00:00""","95","cfs","","","=""05/11/1987 23:45""",
"BOCBGRCO","=""05/12/1987 00:00""","96.2","cfs","","","=""05/12/1987 23:45""",
"BOCBGRCO","=""05/13/1987 00:00""","123","cfs","","","=""05/13/1987 20:00""",
"BOCBGRCO","=""05/14/1987 00:00""","144","cfs","","","=""05/14/1987 20:00""",
"BOCBGRCO","=""05/15/1987 00:00""","151","cfs","","","=""05/15/1987 20:00""",
"BOCBGRCO","=""05/16/1987 00:00""","164","cfs","","","=""05/16/1987 23:45""",
"BOCBGRCO","=""05/17/1987 00:00""","187","cfs","","","=""05/17/1987 23:45""",
"BOCBGRCO","=""05/18/1987 00:00""","249","cfs","","","=""05/18/1987 23:45""",
"BOCBGRCO","=""05/19/1987 00:00""","326","cfs","","","=""05/19/1987 23:45""",
"BOCBGRCO","=""05/20/1987 00:00""","335","cfs","","","=""05/20/1987 23:45""",
"BOCBGRCO","=""05/21/1987 00:00""","394","cfs","","","=""05/21/1987 23:45""",
"BOCBGRCO","=""05/22/1987 00:00""","432","cfs","","","=""05/22/1987 23:45""",
"BOCBGRCO","=""05/23/1987 00:00""","369","cfs","","","=""05/23/1987 23:45""",
"BOCBGRCO","=""05/24/1987 00:00""","333","cfs","","","=""05/24/1987 23:45""",
"BOCBGRCO","=""05/25/1987 00:00""","334","cfs","","","=""05/25/1987 23:45""",
"BOCBGRCO","=""05/26/1987 00:00""","300","cfs","","","=""05/26/1987 23:45""",
"BOCBGRCO","=""05/27/1987 00:00""","253","cfs","","","=""05/27/1987 23:45""",
"BOCBGRCO","=""05/28/1987 00:00""","237","cfs","","","=""05/28/1987 23:45""",
"BOCBGRCO","=""05/29/1987 00:00""","237","cfs","","","=""05/29/1987 23:45""",
"BOCBGRCO","=""05/30/1987 00:00""","237","cfs","","","=""05/30/1987 23:45""",
